	Summary	Job Title	Date	Overall Rating	Pros	Cons
273	Working Culture	 Vice President	25 Aug 2016	5.0	"+ Highly Ethical 
+ Focus on employee engagement 
+ Willing to innovate"	"+ Can move faster given fintech disruption 
+ Not global minded yet"
274	Great place to work	 	20 Jul 2016	4.0	"Good compensation..good work culture. 
can learn new technologies"	frequent org changes . frequent manager change
275	Good growth potential downplayed by incompetent management	 Anonymous	1 Jun 2016	1.0	Good pay and compensation packages.	Management focuses on politics culture - room reading and faction taking. There is little room for learning even if you are proactive. While senior management encourages employee to be open and transparent, the message fizzles out in the mid level management.
276	Great Company to Work at - at the right time	 Anonymous Employee	2 May 2016	5.0	Visa is a great company to work at. It is in the process of transformation and has just-in-time taken the right steps towards a positive transformation. While the size and the business volume presents a challenging task to keep everyone happy - the company has tried to evolve and provide enough avenues to progress. I found the review process reasonable and the compensation satisfactory at par with the efforts put. Would definitely look forward to work with the company again.	The company needs to come out of US centric mindset and become truly global in the right sense.
277	Stay away for peace of mind	 Lead Developer	3 Apr 2016	1.0	Enjoy life at visa without work just by licking manager's foot.	Politics and foot licking everywhere from top to bottom because those who are at the higher position went there doing the same. No logic in promotion or salary hike. Because managers don't understand work, how will they appreciate good work? Just make manager happy by giving company to coffee break, lunch break or even toilet break. HR puppet of management.
278	Working with Visa	 Senior Systems Engineer	27 Mar 2016	4.0	Best place to work with awesome work-life balance and benefits. Best of Industry standards.	But More recently the steps taken by higher management is tarnishing the image and reducing the output of individuals....
279	Director	 Director	23 Mar 2016	3.0	International Exposure, Technical knowledge growth	Very process oriented, unable to transition within
280	Project Manager	 Senior Implementation Project Manager	13 Mar 2016	2.0	"Generally colleagues are friendly and helpful.
Salary and benefits are fairly good compared with industry standards.
Work & life balance is good as far as most of the projects you're handling are running smoothly."	"People managers evaluate staffs based on favoritism. Favoritism and internal political relationship matters much more than your performance for external clients. It's very important to make friendly relationship with internal staffs, not to be targeted at any downturn.
Since it's a big organization in Singapore now, so many departments are made to manage small part of business processes (such as implementation, configuration and testing teams exist separately), which bring more internal approval processes and longer lead time."
281	Tech is old	 Software Engineer	23 Feb 2016	3.0	Good environment, nice people, nice benefits	Tech is too old. No innovation
282	The company run by accountants. Products are weak in comparison to other players. The priority is short term revenues	 Business Leader	8 Jan 2016	1.0	Great brand, this is legacy. Good people, but only because of the good salaries and not because the see the future.... Can be much better if the leaders will listen.	The Leadership is short term revenue focused. No investment pool, no tracking of the competition improvements and investment. You may call it denial mode!
283	Strong Brand but that's about it	 Manager	6 Jan 2016	2.0	Strong corporate brand but at this juncture, that's really all there is to the company.	"1. Too much bureaucracy - it is extremely difficult to get a simple thing done due to the many layers of approvals put in place. For e.g. does an engagement of USD 1,000 REALLY need approval from the head of department? Sourcing processes need to be revamped as it makes life a hell for those who are trying to move things at a speedier place. 

2. Trying to brand itself as Employer of Choice but the steps taken towards this goal are moving the company in the opposite direction. 

3. Interns and those hired via the new graduate development program are put on a pedestal and given ALL the  admiration and perks that the experienced hires do not have. What are the rest of us, chopped liver?

4. Open and honest communication is not forthcoming especially when there are major changes to compensation and benefits. The pertinent points are buried under a mountain of non-pertinent information. It's as if the management is afraid of facing the employees and have to resort to such cowardly tactics. 

5. No career progression since there are so may people in middle management (Director level). As a result, a people manager ends up hoarding all the work in order to be in the limelight and only allows her direct reports to pick up the scraps and work on things that do not see the light of day. Which leads me to my next point.. 

6. People managers are NOT equipped with people management skills. Very demotivating for"
284	Business Analyst	 Business Analyst	16 Dec 2015	2.0	Payment and bonuses can be good for some	Very hectic and work environmentt not cool.
285	Pathetic place to work	 Business Analyst	23 Nov 2015	1.0	Brand Only, Work life balance good.	Too much politics involved. Employees more interested in puling other's down. Wrong hires at Senior level with no vision where  .they want to take Business unit to.
286	Negotiate with Recruiter	 Anonymous Employee	7 Nov 2015	1.0	"People you work with
Leading Brand reputation
Challenging work if you are in the right team
Global reach, local market expertise"	"Benefits 
Politics
Managers not leaders (many managers cannot be trusted)
Short term thinking so a lot of fire drills
Not fulfilling goal of becoming the Employer of Choice"
287	Software Engineer Intern	 Software Engineer Intern	2 Nov 2015	5.0	"The internship with Visa was my very first working experience I have ever had in my life, and it definitely set a extremely high bar and was completely out of my expectation with lots of surprise and great memories. 
I was the intern in the technology development of Visa. The whole program was well designed and organized. The culture there was simply amazing: people were so friendly and nice, team was not demanding, work integrated with life perfectly,  and various employee activities were open for us. They took so much care of interns and gave us lots of opportunities to take the real responsibilities on the projects, chances to meet up the senior managers and boarding members as well as the freedom to showcase and spoke out our own ideas.
Besides the work within the team, all the interns had to finish the case challenge competition together in groups throughout the whole internship period. During it, we were mentored by our buddies and senior advisers and mentors who were really nice, friendly and helpful.
We also had the full access to all the employee's welfare benefits, such as free access to the gyms around the island. Everything was simply great.

The most amazing part was all the Visa interns around the world, nearly 300 people including interns from South America, Asia and Africa, all flied to Visa's headquarter at San Francisco to take part in Visa's global summit event. This is simply the best party at the best age with the best people in my life. I got the chance to meet up with lots awesome young and intelligent  people from different parts of world and hang out together. During the one-week event, we got the chance to talk to Visa's CEO Charles, President, Vice Presidents and the other senior boarding members. They are amazing and the company is amazing too. I never knew that Visa is such a cool company which is preparing to change to industry before I went there.
Can't wait to join Visa after graduation to continue my journey with Visa."	Simply amazing, nothing bad. Honestly, I could not ask for anything else, since they really offered us too much.
288	Great company to work for	 Anonymous Employee	25 Oct 2015	5.0	"Great work environment
A company you can feel proud to work for
Visa is often mis undestood in terms of who we are and what we do aside from process electronic payments. The more you discover about Visa the more impressive this company is, particularly in the digital space"	"Old ""banking"" processes and mindset still exists within the company which makes things a little difficult to get done and in my opininon holds the company back. These things will never change overnight but it's important to continue to make progress as we're not as agile as a west coast tech company needs to be"
289	Sr. Information Security Analyst	 Senior Information Security Analyst	25 Oct 2015	4.0	Great place to sharpen your skills.  Good benefits, great people and good work life balance.  It's a good second home.	Unfortunately, they hired mediocre middle managers that tried to re-invent the wheel. The incompetent ones just copy paste the slides of upper management thinking that their direct reports don't know anything. The ambitious ones were leeches. They'll phase you out if they don't like you regardless of your loyalty and the contributions you have made.  I've seen so many good people who were let go and they were great contributors in the company.  Sucks they were replaced by stupid people.
290	Unusual workplace with strong positives & negatives	 Senior Director	13 Oct 2015	3.0	Explicitly states that being an employer of choice is its core strategy. Works towards that in many ways with reasonably good perks and pay. Takes care of safety and work environment concerns. Normally one can expect a good work-life balance.	Highly political. With the nature of the payments business comes problems associated with too many people trying to chase the few big successes available. Not everyone has the opportunity (nor the skills in visa) to make a quantifiable difference to the P&L.
291	Headed in the right direction .. but with patchy Middle management	 Senior Dec Analytics Architect	6 Oct 2015	4.0	"Benefits
work life balance
higher than average compensation package"	"no structured approach to performance management
poor accountability"
292	Structured Programme	 Summer Intern	27 Sep 2015	4.0	Many activities. A structured programme	The work is not challenging. A bit tedious
293	Best company to work	 Anonymous Employee	25 Aug 2015	5.0	best work culture and environment . Visa is the best pay master in Singapore	Need more staff , so to have work life blance
294	Intern	 Intern	17 Aug 2015	4.0	"Well Structured.
Lot of positions available for new college grads.
Good work life balance.
Comparatively better compensation."	Not many interesting problems to work on.
295	Great Work Enviornment, Good Work-Life Balance	 	16 Aug 2015	4.0	Well defined and challenging goals, high growth industry, Industry and personality related training, Fantastic work life balance	Legacy issues - employees who have been around a long time are resistant to change, slow career progression
296	Good benefit firm	 Human Resources Administrator	25 Jul 2015	4.0	nice working environment, nice people	higher expense as working in CBD area
297	Working at Visa	 Anonymous Employee	16 Jul 2015	4.0	In general, plenty of growth potentials, opportunities for employees and engaging top management.	With regards to possibility of exploring internal opportunities, I feel it depends largely on line managers. How willing is he or she willing to let one explore?
298	Almost Great company to work for	 Department Head	30 Jun 2015	4.0	"Awesome brand 
Broad global coverage 
Bread of exposure in payments
Talented workforce"	"Whilst a global company - very US centric decision making 
Senior management steering the company in the right direction by having a open, transparent and challenging culture however this is not cascading downwards through middle management"
299	Interning at Visa Inc.	 Intern	23 Jun 2015	4.0	Great opportunities and well structured program for Interns. Work life balance.	There aren't many cons here.
300	Little India	 Network Support Engineer	20 Jun 2015	1.0	"Fair pay.
Good benefits
Nice premises
Good brand name for your CV"	"All about politics.
Everyone is a manager. You will have hundreds over you.
They only hire indians in technology. No other races are welcomed.
No opportunities to climb the ladder.
No culture."
301	Political & Weak leadership	 Senior Business Leader	20 Jun 2015	2.0	"Recognizable global brand name
Intelligent minds
Decent salary
Regional exposure"	"No clear strategy
Political 
Beware of people who just talk but don't deliver
Unstable - Ongoing restructure 
High turnover in some areas"
302	Great	 Staff Software Engineer	11 Jun 2015	4.0	Good work, Good culture, Good projects	Need of a better management, need to create a flat hierarchy for better innovation.
303	full time employee	 Senior Software Engineer	2 Apr 2015	3.0	"there is a good environment, facility

quite good life and work blance"	lots of re org, lots of magagment change, exective management is really bad
304	Soon-to-be an Indian company with 90% people pleasers in Management team	 Anonymous Employee	17 Mar 2015	1.0	Drinks in the panty are good: tea, coffee, milo, orange juice, coke, diet coke, etc. etc.	Diversity is a joke, all new hires are Indians based on company newsletter. Senior management changes almost once a month. Too many useless meetings. Management are a bunch of YES men with no skills and no knowledge. Managers spend travel budget like nothing but bring back zero client. Every business travel in Chips team is attached with a personal holiday. Too many slackers. People working here for 5-10 years but doing nothing is very common. No effective employment feedback channel. Employee cannot rate managers. Working environment is getting worse and worse. The good leaders / employees are leaving which are very sad!
305	Great work/life balance but zero innovation	 Marketing	16 Feb 2015	2.0	"Totally established - and under new CEO Charlie have tremendously went backwards in time to ""secure the current business foothold"".  Reason? to hike up the stock price.  as a payment infrastructure company, Visa has maybe 20-30 years time to be disrupted, so if you like to just chill and ride the wave, this is your company."	Everything is in its place - so no need for innovation, as I've been told many times. Booooooooring.
306	Sunrise industry with double digits revenue growth coupled with dynamic and diverse workplace	 Associate	8 Feb 2015	5.0	Diversity, values, talent management, culture and compensation	Implementing innovation is more difficult as compared to private, smaller and more nimble companies. There is also a danger that new innovation might cannibalize our own traditional business
307	Visa Labs Team	 Data Scientist	1 Feb 2015	5.0	Fantastic team, amazing domain knowledge. The work is very interesting: broad, long-term applications.	Same as any big company!
308	Not up to expectation as a top MNC employer.	 Contractor	30 Jan 2015	2.0	"- Great brand name.
- Good work life balance during off peak work periods.
- Good salary package.
- Wide job scope provides lots of opportunity for learning and development.
- Good place to build up your CV."	"- Harsh and political working environment.
- Poor teamwork, unhelpful colleagues and superiors.
- Mediocre middle management (Director level) good at practicing favouritism.
- Middle management style is a radical ""hands-off  micro manage"" approach.
- Biased treatment towards contractors vs perm staff.
- Very little respect and recognition given to contractors.
- Conversion from contract to perm staff could evolve into a political issue.
- Low morale working environment due to high turnover, re-org and frequent changes to work portfolio.
- Increasingly challenging business model where Opex increases outweigh revenue increases.
- Unfortunately, the cons outweigh an otherwise strong list of pros."
309	Bad middle management stemming from bad senior leadership	 Anonymous Employee	21 Jan 2015	2.0	Initially it was learning new things ... After a while it was the like minded colleagues that keep you going. Benefits was alright for an MNC.	"Politics was in every level of the company. Some bosses without guts will be ""eaten up"" alive, I guess survival instinct. Everything is short term and decisions are made at the expense of long term because lazy and incompetent managers want to hit KPIs and report only good news upwards. Re-org happens so often that nothing really gets accomplished, and predecessors always get away with bad decisions. 
And depending on the nationality of the managers, there appears to be a trend of hiring people of the same, not base in merit but base on network.
When HR folks start to leave the company, this is an good indication the company is too messy to stay."
310	Director	 Director	15 Oct 2014	4.0	"Great Working Culture
Professional People
Cross functional opportunities
Benefits"	"No vertical growth opportunities
Slow decision making"
311	Great place to work	 Director	14 Oct 2014	4.0	Work life balance, great people	Sometimes a project can take a long time before it launches.
312	Visa Inc.	 Business Leader	25 Sep 2014	4.0	A great company to work for - offers career progression and opportunity for professional growth. Visa has a reasonable work/life balance depending on geographic location.	Visa is a leading global brand with a very successful trackrecord however needs to change gear to compete with the much faster paced new technology companies that are entering the payments market.
313	Opportunities for growth limited by workplace politics and lack of collaboration	 Anonymous Employee	23 Sep 2014	3.0	"-Professionally run company, highly regulated business environment 
-Pay is OK, slightly above average. Benefits are strong. 
-Opportunities for growth and career markers/projects 
-Some really talented and hardworking people in the markets - hub was a different story"	"-Huge lack of leadership from senior directors and upper management
-Politics gets in the way of good work, prevents people from working towards one common goal 
-Massive reorgs left people fending for themselves, leaders in charge of people lost sight of what really mattered: talent retention and career growth
-Company is lost, upper management lack clear direction to inspire employees - many programs are being scaled back at the expense of industry leadership and vision"
314	Inept Management, unqalified staff. A good place to retire  or for lazy, ignorant people killing time	 Senior Customer Service Representative	10 Sep 2014	2.0	Easy to get in. Good salary compared to the job to be done. Good benefits. Good work/life balance. Good for people killing time better than being unemployed.	"Company prefer to keep a lot of people that are not able or willing to work. The work is done by a very few people but management is not consequent enough to deal with it properly. Cronyism is present any day. Promotion is for staff that have drinks with the right people, neither quality work nor reliability or efficiency in getting the job done is demanded. As for the reimbursements (e.g. health insurance) one sometimes had to wait up to half a year. Lot of sfaff satisfaction surveys but no proper analysis and therefore no improvement. Training is sometimes done by people that do not know half of what the staff already know. Supporting the ""wrong"" people leads to the best people leaving the company unhappily."
315	Great company to work for	 Anonymous Employee	9 Jul 2014	3.0	Pay, brand name, talented people	Lack of career growth options
316	Great Place to work	 Info Security	3 Jul 2014	5.0	Great Company, Learning curve, Safe place and business model	Constant reorg happening all time
317	A good place to learn new skills	 Account Manager	1 Jul 2014	4.0	Professionalism, good people in general, OK hours, OK salary	Very political, expect backstabbing via HR or Manager, some managers are only working on their own progress
318	Global Environment and experience	 Senior Business Leader	1 May 2014	4.0	"International Exposure
Performance based bonus / stocks
Exposure to emerging payments and technology 
Focus on training / development"	"Flat organisation limiting upward promotions
Local packages trail expatriate / foreign hires
Need to look at housing / education allowances
Senior managers tend to remain in jobs too long limiting career mobility of others"
319	Need to be highly adaptable to change to succeed here but overall a good company and benefits.	 Manager	27 Apr 2014	3.0	"Good branding, widely recognised company. Growth company, good financials, benefits.
Nice people, who are talented and supportive of their colleagues."	"Too frequent and drastic changes to organisation, makes it unsettling for most. Upper management.
Compensation and performance management processes need to improve to better reward and measure competencies and true talent."
320	Friendly and intellectual colleagues in a very supportive environment	 Intern	12 Mar 2014	5.0	Supportive and has a very structure programme in place. Doing real stuffs with the full time colleagues there	Everywhere you go.. you see Visa... even when you knock off from work.. when you are paying for items... you see your company logo and it appears to be a constant reminder that you have work undone.
321	Real Responsibilities!	 Intern	30 Jan 2014	4.0	Very structured internship. Lectures on overview of other departments are a good initiative. Worked on real projects with real responsibilities! Case competition was a good exposure for us to meet clients and present to senior management	interns hardly had a chance to be converted to full-time. Limited career progression. Should not focus too much on grades/interviews in recruitment
322	Not my best career decision	 Marketing	27 Jan 2014	3.0	Compensation is quite good, with a fairly decent work life balance.	Takes a certain type of aggressive character to be able to survive in this work culture. Not the best place for career advancement.
323	Visa has a work culture that allows you to interact with a very multi-national team.	 Digital Marketing Manager	22 Dec 2013	5.0	Perks and benefits are good.	Re structure could means more opportunities.
324	Nice place to work	 Information Security Analyst	4 Oct 2013	4.0	Good learning, Experienced management, Good benefits	No cons as such in mind
325	Great for internships	 	28 Sep 2013	4.0	"HR really cares about interns
Great exposure to the payments industry (tried Googling what I learnt - cannot find online!)
Can access a lot of information as long as you ask, great for self-learning
Flat structure, so as an intern, it's great to meet people
Employees are friendly to interns, willing to teach, and really fun and smart people in general
Had a smile at work every day"	"Can tell it's political, but there was a re-org recently
People won't share stuff if you don't ask; no culture of sharing
Each is very protective of their own department
Needs to be more stringent with letting interns in (some managers are tougher, some are not so), some are below average, diluting the prestige. Don't think it's good in the long run for attracting good candidates in future
No intern conversion (duh ^)"
326	future focused company	 Consultant	9 Sep 2013	4.0	lives up to its vision of being the world's best way to pay and be paid for everyone, everywhere	matrix cum consultative environment may sometmes slow the speed of execution
327	Great place to come in and be lost for life	 Senior Systems Analyst	14 Aug 2013	2.0	Leads the industry in the payment space. Historical advantage.	The place is turning into a sweat shop. Management is narrow minded and set in some very old ways. Growth is based on who you know and how you please them. Tow the line and grow fast.
328	Visa - employer of choice	 Anonymous Employee	29 Jul 2013	4.0	Innovative market leading company in the payments industry. Has a strong company culture which embraces specialist knowledge and is passionate about the industry.	Heavily matrixed environment, however once on board and you build a network it makes sense
329	Is it really a 360○ review?	 CSS	22 Jul 2013	3.0	Great people..good environment..great company leading in payment industry...good leadership at senior management level	There are some junior & mid-level leaders who judge by their own perspective rather by fact ..360○ review conducted in a way that it is being sent to 'intended' recipients only
330	Objective review of Visa Inc.	 Intern	14 Jun 2013	4.0	Great culture, benefits and resources. Has highly talented people from all backgrounds and nationalities for a diversified and international environment and working culture.	Hard to get in, really high expectations of everyone as the minimum bar is very high and minimum experience is 7 years in another company related to the current job scope.
331	Great place to work	 Anonymous Employee	1 May 2013	4.0	"Fast-paced and something new to learn everyday
No micromanaging and tons of autonomy
Great recognition of good work and talent
Good comp at least for my role"	Some processes are clunky - an Achilles Heel for organizations of its size
332	Good!	 Staff Software Engineer	22 Mar 2013	3.0	Fair compensation, Equal opportunity workplace, Good work life balance	Good compensation as per Singapore Peer standard  but not as competitive as other Visa worldwide locations, little laid back, very casual and non-uniform on-boarding procedures, too much of control from head office , limited carrier progress opportunity
333	better organization to choose Technology growth in Finance/banking sector	 Business Leader	5 Mar 2013	4.0	PTO, ability to work with multiple depts, personal/professional growth encouragement	continuous reorganization, climbing up the ladder not that easy
334	Great Company, bad management, worse leadership	 Anonymous Employee	21 Feb 2013	3.0	Great Brand and company. Market leader. Great team. Good money.	The management is extremely short sighted. Very poor leaders at senior level. The leaders are short sighted.  The HR leadership is the biggest challenge. A couple of good HR people have left and since then HR is managed by amateurs..
335	Lead Software Engineer	 Lead Software Engineer	16 Jan 2013	4.0	Good to start. Salary is as per the market rate. Better way to learn payment systems.	Need to work hard to get grow as a lot of older employees are there.
336	Operations Manager	 Operations Manager	19 Dec 2012	3.0	No.1 Brand and cutting-edge tech.	Large organization. Frequent staff change.
337	Management Pls take note	 Database Administrator	15 Dec 2012	1.0	Salary is good.Colleagues were good.	Retrenchments are so common. Too much Politics.
338	Power Struggle & Politics	 Risk Analyst	30 Nov 2012	1.0	Work-life balance, stable, interesting industry.	Office politics, stingy, no career progress. favoritism, unfair remuneration, employees are not appreciated, not innovative, lots of arrogant people.
339	Enriching & Empowering Summer Internship Experience	 Merchant Acquisition Intern	1 Sep 2012	4.0	"Interns allowed to take ownership of projects and challenge teammates' assumptions and point of views.

Business leaders bring interns to all (most) of internal corporate meetings and conference calls to keep them in the loop and up to date about project happenings. 

Nurturing and patient management mentors."	Nothing really bad to state.
340	Good Compensation but a lot of Politics	 	1 Apr 2012	3.0	"Good compensations - basic salary + allowance
Follows government mandated salary and contributions and number of Paid Time Off"	"Working late hours including weekends - no overtime pay in Singapore
Management in our team is not really good. 
Diversity score needs to be addressed and race needs to be diverse. There is only one race that are alarmingly too large in volume.
Politics everywhere."
341	Many ups and downs - a rollercoaster without safety restraints	 	26 Feb 2011	3.0	"Generally, the problems we work on are challenging...thorny issues from client deals to government relations.  These are real issues and there are no easy answers, or easy ways out - so we do have to think hard and act...and that's the rollercoaster.

Most of the people are good to work with, and they are sharp. If you want to work in the financial services/payments industry there is no better place to build a network."	"Although we work on thorny issues, I get the feeling that senior management will throw us under the bus in a heartbeat when push comes to the balance sheet...it's best to stand behind management, rather than out front.

This leads to a culture of insecurity, and a lack of ""intrapreneurship."" Continual layoffs add to the nail biting."
342	Ok	 Manager	31 May 2010	3.0	Depends on who you know. Does not reward fairly or transparently. Good place to be mediocre able to work with smart people	Could be fairer. Too many red tape and takes too long to make decisions. Management tend too be cliqued. Sad
343	GO Joe	 Business Analyst	9 Mar 2009	3.0	Most of the colleagues are good people, usually easy to work with. The compensation is quite good and there is always emphasis about family time. Visa encourages a healthy lifestyle and promotes participation in sporting events by absorbing the registration fee.	Too political at the management level, they are also very selfish. Too many times managers are obviously biased but are not bothered about it. Management suffers from Tunnel vision!!
